기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 대구
기간 : 20220101~20220803

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2022-01-01,143,-2.3,-8.8,5.6
2022-01-02,143,0.6,-6,7.7
2022-01-03,143,-0.2,-6.5,6.9
2022-01-04,143,1.9,-2.5,7.6
2022-01-05,143,0.6,-5.6,5
2022-01-06,143,2.9,-2.3,7.9
2022-01-07,143,0.1,-6.6,8.6
2022-01-08,143,1.4,-6.3,8.9
2022-01-09,143,2,-2.2,8.7
2022-01-10,143,3,-4.5,9.9
2022-01-11,143,-0.9,-5.5,4.7
2022-01-12,143,-3.2,-7.6,1.8
2022-01-13,143,-2.8,-4.8,1
2022-01-14,143,-2.6,-6.7,4.2
2022-01-15,143,1,-4.7,8.4
2022-01-16,143,1.9,-2.2,8.2
2022-01-17,143,-0.4,-4.1,4.7
2022-01-18,143,-2.5,-6.1,2.8
2022-01-19,143,-0.7,-7.8,5.6
2022-01-20,143,-1.1,-5.3,5.1
2022-01-21,143,-1,-8.3,6.8
2022-01-22,143,2.3,-5.8,10.1
2022-01-23,143,6.4,1.5,12.8
2022-01-24,143,4.9,2.2,6.9
2022-01-25,143,4.5,1.2,7.5
2022-01-26,143,3.8,0.8,8.2
2022-01-27,143,3.2,-2.1,9.7
2022-01-28,143,2.3,-0.3,6.7
2022-01-29,143,1,-1.7,5.5
2022-01-30,143,1.1,-4.2,6.5
2022-01-31,143,1.3,-5.3,7.8
2022-02-01,143,1.9,-2.8,5.4
2022-02-02,143,0.7,-2.1,5.6
2022-02-03,143,0.4,-3.8,5.4
2022-02-04,143,-0.6,-3.4,4.2
2022-02-05,143,-3,-6.4,1.1
2022-02-06,143,-1.1,-5,3.5
2022-02-07,143,0.2,-3.6,3.6
2022-02-08,143,1.5,-3.7,7.1
2022-02-09,143,2.6,-5.7,9.4
2022-02-10,143,5.3,1.2,10.7
2022-02-11,143,3.5,-3.6,11.8
2022-02-12,143,4.8,-2,12.7
2022-02-13,143,5.4,-0.7,11.6
2022-02-14,143,7.3,2.5,13
2022-02-15,143,0.4,-4.3,6.6
2022-02-16,143,-3.6,-5.8,0.8
2022-02-17,143,-4.3,-8.4,1.5
2022-02-18,143,-0.8,-9.3,8.1
2022-02-19,143,2.4,-0.2,7.1
2022-02-20,143,-2.2,-5.2,2
2022-02-21,143,1.2,-5,7.4
2022-02-22,143,-0.4,-3.3,3.9
2022-02-23,143,-2.3,-6.3,2.8
2022-02-24,143,0.5,-5.1,6.7
2022-02-25,143,5,-2,11.7
2022-02-26,143,6.8,-1.9,14.7
2022-02-27,143,6.3,1.7,12.6
2022-02-28,143,7,-2.5,15.1
2022-03-01,143,9.9,4.9,16.3
2022-03-02,143,6.2,1.3,12.3
2022-03-03,143,7.7,-0.2,15.2
2022-03-04,143,8.8,-0.6,17.3
2022-03-05,143,6.9,1.5,12.2
2022-03-06,143,4,0,10.2
2022-03-07,143,5.2,-2.2,12.7
2022-03-08,143,8.1,-1.1,15.8
2022-03-09,143,9.1,0.5,17.5
2022-03-10,143,10.5,2.2,18.3
2022-03-11,143,12.5,5.2,18.9
2022-03-12,143,14.7,7.1,21.5
2022-03-13,143,15.1,10.3,18.5
2022-03-14,143,10.8,8.9,13.9
2022-03-15,143,11.7,6,19.3
2022-03-16,143,14.4,5.1,23
2022-03-17,143,8.8,6.3,13.6
2022-03-18,143,6.1,4.3,8.1
2022-03-19,143,4.9,3,8.1
2022-03-20,143,6.6,2,11
2022-03-21,143,8.3,2.2,13.8
2022-03-22,143,8.7,5.5,14.2
2022-03-23,143,6.8,2.6,11.1
