Pclass,Sex,Age,Parch,Fare,Survived
3.0,1.0,34.5,0.0,7.8292,[0.08780059]
3.0,0.0,47.0,0.0,7.0,[0.52687114]
2.0,1.0,62.0,0.0,9.6875,[0.08303937]
3.0,1.0,27.0,0.0,8.6625,[0.09461796]
3.0,0.0,22.0,1.0,12.2875,[0.5763341]
3.0,1.0,14.0,0.0,9.225,[0.27439305]
3.0,0.0,30.0,0.0,7.6292,[0.5955887]
2.0,1.0,26.0,1.0,29.0,[0.15055618]
3.0,0.0,18.0,0.0,7.2292,[0.65093726]
3.0,1.0,21.0,0.0,24.15,[0.08003446]
1.0,1.0,46.0,0.0,26.0,[0.3274517]
1.0,0.0,23.0,0.0,82.2667,[0.8240295]
2.0,1.0,63.0,0.0,26.0,[0.09806681]
1.0,0.0,47.0,0.0,61.175,[0.8240295]
2.0,0.0,24.0,0.0,27.7208,[0.8240295]
2.0,1.0,35.0,0.0,12.35,[0.12229887]
3.0,1.0,21.0,0.0,7.225,[0.11034241]
3.0,0.0,27.0,0.0,7.925,[0.60560507]
3.0,0.0,45.0,0.0,7.225,[0.5335213]
1.0,1.0,55.0,0.0,59.4,[0.5495113]
3.0,1.0,9.0,1.0,3.1708,[0.79089963]
1.0,1.0,21.0,1.0,61.3792,[0.50249654]
1.0,0.0,48.0,3.0,262.375,[0.8240295]
3.0,1.0,50.0,0.0,14.5,[0.05252385]
1.0,0.0,22.0,1.0,61.9792,[0.8240295]
3.0,1.0,22.5,0.0,7.225,[0.10915715]
1.0,1.0,41.0,0.0,30.5,[0.44696084]
2.0,1.0,50.0,0.0,26.0,[0.117394]
2.0,1.0,24.0,0.0,31.5,[0.2611916]
3.0,0.0,33.0,2.0,20.575,[0.5088974]
1.0,1.0,30.0,0.0,57.75,[0.59956944]
3.0,1.0,18.5,0.0,7.2292,[0.11230165]
3.0,0.0,21.0,0.0,8.6625,[0.6212724]
3.0,1.0,25.0,0.0,9.5,[0.088276]
3.0,1.0,39.0,1.0,13.4167,[0.06014881]
3.0,1.0,41.0,0.0,7.85,[0.07882789]
2.0,0.0,30.0,0.0,13.0,[0.802533]
1.0,0.0,45.0,0.0,52.5542,[0.8240295]
3.0,1.0,25.0,0.0,7.925,[0.10112309]
1.0,1.0,45.0,0.0,29.7,[0.41260022]
1.0,0.0,60.0,0.0,76.2917,[0.8240295]
3.0,0.0,36.0,2.0,15.9,[0.49313843]
1.0,1.0,24.0,0.0,60.0,[0.5863638]
2.0,1.0,27.0,0.0,15.0333,[0.11761609]
2.0,0.0,20.0,1.0,23.0,[0.760265]
1.0,0.0,28.0,2.0,263.0,[0.8240295]
3.0,1.0,10.0,1.0,29.125,[0.10629627]
3.0,1.0,35.0,0.0,7.8958,[0.08686736]
3.0,1.0,25.0,0.0,7.65,[0.10352972]
1.0,0.0,36.0,0.0,262.375,[0.8240295]
3.0,1.0,17.0,0.0,7.8958,[0.11334294]
2.0,1.0,32.0,0.0,13.5,[0.11486706]
3.0,1.0,18.0,0.0,7.75,[0.10859913]
3.0,0.0,22.0,0.0,7.725,[0.62941605]
