,구별,인구수,한국인,외국인,고령자,외국인비율,고령자비율
1,종로구,153684,144275,9409,28064,6.122302907264256,18.26084693266703
2,중구,131450,122173,9277,24742,7.057436287561811,18.82236591860023
3,용산구,236518,222169,14349,39461,6.06676870259346,16.684142433134053
4,성동구,291609,285073,6536,46896,2.241357434098399,16.081808174644816
5,광진구,353110,340707,12403,52604,3.512503185976042,14.897340771997394
6,동대문구,352592,337982,14610,62963,4.143599401007396,17.857183373417435
7,중랑구,393600,389043,4557,72851,1.1577743902439024,18.508892276422763
8,성북구,442680,433150,9530,75719,2.1527966025119727,17.104680581910184
9,강북구,300824,297384,3440,64961,1.1435257825173524,21.594354173869107
10,도봉구,318100,316098,2002,65122,0.6293618359006601,20.472178560201197
11,노원구,514445,510486,3959,89426,0.7695672034911409,17.38300498595574
12,은평구,476013,472259,3754,88418,0.7886339238634238,18.574702791730477
13,서대문구,317075,305866,11209,55012,3.5351257588898526,17.349838366317115
14,마포구,378629,368331,10298,55168,2.7198127982801106,14.570463435183253
15,양천구,449378,446182,3196,69953,0.7112052659453734,15.566627649773688
16,강서구,578426,573046,5380,93924,0.9301103339061522,16.237859294015138
17,구로구,419984,396017,23967,73864,5.706645967465427,17.58733666044421
18,금천구,244901,231098,13803,41819,5.636155017741864,17.075879641161123
19,영등포구,400241,376740,23501,63547,5.87171229334326,15.877183996642023
20,동작구,394649,386017,8632,67470,2.187260071607935,17.09620447536925
21,관악구,500336,486375,13961,80686,2.7903249016660805,16.126363084007547
22,서초구,413677,409823,3854,61404,0.9316447373192128,14.843464828839892
23,강남구,537338,532577,4761,79575,0.8860344885342187,14.809114561039793
24,송파구,668261,662607,5654,99854,0.8460766077924644,14.9423653333054
25,강동구,465097,461300,3797,75477,0.8163888393173897,16.22822766003651
